Tượng linh vật phượng hoàng bằng đồng thau phong thủy Hồng Thắng
Mặt gỗ hoàng đàn khắc hình Phượng hoàng MG57
Tượng đôi chim hạc phúc lộc mạ vàng
Mặt dây chuyền chim phụng đá mắt mèo S6717
