Tinh Dầu Xông Phòng Sả Chanh Karoma (50ml)
"Tinh Dầu Xông Phòng Sả Chanh Kobi (10ml) + Tinh Dầu Bưởi Hồng Kobi (10ml) + Tinh Dầu Bạc Hà Kobi (10ml) Nguyên Chất Giúp Kháng Khuẩn, Khử Mùi, Giảm Stress Hiệu Quả - Tinh Dầu Thiên Nhiên"
Dầu dừa ép lạnh tinh khiết Coco-Secret 500 ml
Combo 3 Tinh dầu SENSELAB nhập khẩu Ấn Độ: Tinh Dầu Sả Chanh (10ml) + Tinh Dầu Oải Hương (10ml) + Tinh Dầu Bạc Hà (10ml) - Tinh dầu thiên nhiên nguyên chất
"Tinh dầu Vỏ Quế SENSELAB 50ML. Tinh dầu thiên nhiên nguyên chất Nhập Khẩu Ấn Độ. Tinh dầu xông phòng kháng khuẩn, phòng tránh cảm cúm"
"Tinh dầu Sả chanh cao cấp 50ML Lemongrass. Tinh dầu xông phòng Vemoda giúp thanh lọc không khí, khử mùi, kháng khuẩn, đuổi muỗi, giải cảm, làm đẹp. "
Dầu nóng Xoa Bóp Massage Hàn Quốc Antiphlamine 100ml - Đau nhứt massage cơ thể
Combo 3 Tinh Dầu Lorganic: Tinh Dầu Sả Chanh (10ml) + Tinh Dầu Bưởi (10ml) + Tinh Dầu Bạc Hà Nguyên Chất (10ml)
Bộ 3 Chai Dầu nóng Hàn Quốc Antiphlamine ( Chai100ml ) 
Tinh dầu gỗ thông đen  Lorganic Pine black 10ml/ Hương thơm ấm nồng/ Tinh dầu thiên nhiên nguyên chất xông phòng/ Thư giãn tinh thần/ Thích hợp dùng với đèn xông và máy khuếch tán.
"Tinh Dầu Sả Chanh 100ml Kobi Giúp Đuổi Muỗi, Khử Mùi, Thơm Phòng - Tinh Dầu Thiên Nhiên Nguyên Chất - Tinh Dầu Xông Phòng"
"Tinh dầu Sả chanh thiên nhiên Biyokea xông phòng đuổi muỗi, xông khử mùi chai 20ml"
"Combo 3 Tinh Dầu Kháng Khuẩn Kobi Bạc Hà + Sả Chanh + Khuynh Diệp (10mL) - Tinh Dầu Thiên Nhiên Nguyên Chất, Tinh Dầu Xông Phòng, Dùng Với Máy Xông Tinh Dầu Giúp Khử Mùi, Thơm Phòng Hiệu Quả"
"Combo Tinh Dầu Sả Chanh Kobi (50ml) + Tinh Dầu Bạc Hà Kobi (50ml) - Tinh Dầu Thiên Nhiên Nguyên Chất, Giúp Giảm Stress, Làm Thơm Phòng"
"Dầu Lạnh Xoa Bóp Massage Hàn Quốc Antiphlamine Mild màu xanh - Đau nhức cơ thể, giúp da mềm mại - Chai 100ml"
Dầu Lăn Thái Lan Thảo Mộc Green Herb Oil - 8ml 
Tinh dầu xông phòng cao cấp gồm 3 chai tinh dầu nguyên chất: tinh dầu Sả chanh (10ml) + tinh dầu Vỏ quế (10ml) + tinh dầu Bạc hà (10ml) Vemoda
Tinh dầu Sả Chanh (Lemongrass) SENSELAB 50ML - Tinh dầu thiên nhiên nguyên chất - Tinh dầu nhập khẩu Ấn Độ
Tinh dầu Xông phòng gồm Combo 3 lọ tinh dầu cao cấp: tinh dầu Sả chanh (10ml) + tinh dầu Bạc hà (10ml) + tinh dầu Cam tươi (10ml) Vemoda
Set 3 Chai Tinh Dầu Xông Phòng Ngủ Heber Natural Life | Ngủ Ngon - Oải Hương - Giảm Stress | 100% Thiên Nhiên Nguyên Chất l 10ml
Tinh Dầu Thảo Dược Cửa Sổ Vàng
Lotion dưỡng tóc Thorakao tinh dầu Bưởi 120ml
Tinh dầu Oải Hương nguyên chất 50ML - Tinh dầu Lavender SENSELAB 
"Combo 3 Tinh Dầu Xông Phòng Kháng Khuẩn Sả Chanh, Cam Ngọt, Oải Hương Kobi Giúp Khử Trùng, Thanh Lọc Không Khí, Khử Mùi, Đuổi Muỗi Nguyên Chất (30ml/Lọ)"
Tinh dầu Bạc Hà 10ml JULYHOUSE 
Set 6 Chai Tinh Dầu Thơm Dịu Nhẹ Thông Dụng Nhất Heber Natural Life | 100% Thiên Nhiên Nguyên Chất | Cao Cấp Nhập Khẩu | 10ml
Dầu Dừa Tinh Khiết Vitamin E Milaganics Chai 100ml
Tinh dầu oải hương nguyên chất herbario 10ml (Lavender Essential Oil)) 
"Combo Tinh Dầu Oải Hương Kobi (10ml) + Tinh Dầu Hương Thảo Kobi (10ml) + Tinh Dầu Cam Ngọt Kobi (10ml) - Tinh Dầu Thiên Nhiên Nguyên Chất, Giúp Giảm Stress, Làm Thơm Phòng"
Dầu dừa nguyên chất Organic Vietcoco chai pet 250ml
Tinh dầu sả chanh nguyên chất herbario 10ml (Lemongrass essential Oil)
"Tinh dầu Bạc Hà Cao Cấp SENSELAB 50ML - Tinh dầu thiên nhiên nguyên chất nhập khẩu Ấn Độ - Dùng tinh dầu xông phòng giúp khử mùi, thanh lọc không khí, thư giãn, kháng khuẩn, giải cảm, xua đuổi côn trùng, chăm sóc răng miệng"
Tinh dầu cao cấp Quế PK 5ml
Tinh dầu Bạc Hà PK 5ml
Tinh dầu Sả Chanh 10ml JULYHOUSE 
"Tinh Dầu Bạc Hà Đuổi Chuột Kobi Nguyên Chất Dùng Với Máy Phun Sương, Máy Khuếch Tán, Máy Xông Tinh Dầu, Giúp Thơm Phòng - Tinh Dầu Thiên Nhiên"
"Combo Tinh Dầu Sả Chanh Kobi (10ml) + Tinh Dầu Oải Hương Kobi (10ml) + Tinh Dầu Khuynh Diệp Kobi (10ml) Nguyên Chất Giúp Xông Phòng, Kháng Khuẩn - Tinh Dầu Thiên Nhiên"
