GUITAR BASS FENDER J CV 70S NAT 0374540521
Đàn guitar bass điện Yamaha TRBX174OVSB(SOL.G)
GUITAR BASS FENDER - SQ J AFFINITY BSB 0370760532
Đàn guitar bass Yamaha TRBX304
GUITAR BASS FENDER JS3 TCB 2919005557
