Sốt siêu cay SAMYANG Hot Spicy Chicken Noodle Sauce 200g
Jam trà xanh sữa phết bánh mì OSULLOC Green Tea Milk Spread 200g
Soy sauce sprinkled on eggs 300ml x 2 pieces
SHINYOUNG Pickling Spice 450g
Kewpie Sesame Dressing 1L
SHINYOUNG Turmeric 500g
