Adapter Sạc 1 Cổng Anker PowerPort III Nano Tích Hợp PowerIQ 3.0 - Hàng Chính Hãng 
Adapter Sạc 2 Cổng Anker PowerPort Mini 12W - A2620 - Hàng Chính Hãng
Adapter Sạc 5 Cổng Anker PowerPort+ 60W Tích Hợp Cổng USB Type-C Hỗ Trợ PowerDelivery PD - A2056111 (Đen) - Hàng Chính Hãng
Cốc Củ sạc nhanh Baseus công suất 24W Công nghệ Sạc Nhanh Qualcomm QC 3.0 tự động điều chình dòng sạc - Hàng nhập khẩu
Adapter Sạc 2 Cổng Anker PowerPort II 24W - A2027 - Hàng Chính Hãng
Adapter Sạc 2 Cổng Anker PowerPort+ 33W Tích Hợp Cổng USB Type-C Hỗ Trợ PowerDelivery PD - A2626 - Hàng Chính Hãng
Adapter Sạc 2 Cổng Anker PowerPort Lite 12W - A2129 - Hàng Chính Hãng
Adapter Sạc 1 Cổng 30W Anker PowerPort Atom PD 1 Tích Hợp Công Nghệ GaN - A2017 - Hàng Chính Hãng
Adapter Sạc 1 Cổng Anker PowerPort+ 18W Tích Hợp PowerIQ Hỗ Trợ Sạc Nhanh QC 3.0 - A2013 - Hàng Chính Hãng
"Bộ củ cáp sạc nhanh 18W dùng cho iPhone 11 / iPhone 11 Pro Max / iPhone 11 Pro / iPad (sạc nhanh PD 3.0, kèm cáp sạc Type-C to lightning) "
Củ Sạc Nhanh LED 3.1A Cao Cấp (3 Đầu USB) Dùng Cho Thiết Bị Iphone/ Samsung/ Android - DT047
Adapter Sạc 1 Cổng 18W Xiaomi ZMI HA612 Hỗ Trợ Sạc Nhanh QC 3.0- Hàng Chính Hãng
CỐC SẠC NHANH 2 CỔNG CHỐNG CHÁY NỔ HOCO C73 - CỦ SẠC ĐA NĂNG 2.4A CHO IPHONE SAMSUNG OPPO XAOMI CHÍNH HÃNG
Adapter Sạc 2 Cổng 18W Xiaomi ZMI HA622 Hỗ Trợ Sạc Nhanh QC 3.0 - Hàng Chính Hãng
Adapter Sạc 2 Cổng Anker PowerPort II 49.5W - A2321 - Hàng Chính Hãng
Adapter Sạc 4 Cổng Anker PowerPort Speed 43.5W Hỗ Trợ Sạc Nhanh QC 3.0 - A2040111 (Đen) - Hàng Chính Hãng
Adapter Sạc 4 Cổng Anker PowerPort Atom III Slim 65W PIQ 3.0 & GaN Tích Hợp USB Type-C Hỗ Trợ Sạc Nhanh - A2045 - Hàng Chính Hãng
"Củ sạc nhanh QC3.0 - 4 USB cho điện thoại iphone, samsung, oppo, huawei"
Bộ sạc nhanh dành cho các dòng máy samsung
Adapter Sạc 2 cổng Anker PowerPort Atom III 60w Hỗ Trợ Sạc Nhanh PIQ 3.0 & Công Nghệ GaN - A2322 - Hàng Chính Hãng
Adapter Sạc 2 Cổng Tích Hợp Type-C In/Out Hỗ Trợ Sạc Nhanh PD Power Delivery 61W RAVPower RP-PC105 - Hàng Chính Hãng
Bộ sạc nhanh USB-C Samsung Travel Adapter 25W - Hàng Nhập Khẩu
Bộ sạc nhanh đa năng Baseus GaN Travel Quick Charger 65W dùng cho Laptop và điện thoại - Hàng chính hãng
Adapter Sạc Xe Hơi 2 Cổng Anker PowerDrive 24W - A2310 - Hàng Chính Hãng
Củ Sạc Nhanh Quick Charge QC 3.0 (1 Đầu USB) Dùng Cho Thiết Bị Iphone/ Samsung/ Android - DT045
Adapter Sạc Nhanh Xiaomi ZMI HA711 USB Type-C 18W - Hàng chính hãng
Adapter Sạc nhanh cho iPhone/iPad
Adapter Sạc 1 Cổng 18W Xiaomi ZMI HA612 Hỗ Trợ Sạc Nhanh QC 3.0 - Hàng Nhập Khẩu
Adapter Sạc 2 Cổng 12W Aukey PA-U32 - Hàng Chính Hãng
Bộ sạc USB-C 18W và Cáp sạc USB-C to Lightning 1m MFI MOPHIE - Hàng Chính Hãng
Adapter Sạc 2 Cổng Anker PowerPort Elite 24W - A2023 - Hàng Chính Hãng
Củ cáp dành cho Samsung 2A sạc nhanh chất lượng cao
Bộ Sạc Nhanh 25w Dành Cho Samsung Note10/10 Plus - USB-C to TypeC
Adapter củ cóc sạc nhanh 65W đa năng 1 cổng sạc USB và 2 PD Type-C hiệu Baseus Mini GaN Travel chuẩn sạc nhanh PD 3.0 & QC 4.0 - Hàng nhập khẩu
Bộ sạc nhanh Adapter Fast Charging (Trắng/đen) dành cho các dòng máy Samsung dùng cáp Type C - Hàng nhập khẩu
