Tời điện treo PA200 (100/200kg) màu đỏ
"Kích Thủy Lực, Con Đội Thủy Lực ABG (Loại 6 Tấn) - Hàng Chính Hãng"
Tời điện treo PA300 (150/300kg) màu đỏ
"Tời Quay Tay Không Cáp 1200LBS 500Kg - Máy Tời Xoay Cầm Tay Chuyên Dùng Để Nâng Hạ Hàng Hóa , Máy Móc - Hàng Chính Hãng"
"Kích Cá Sấu ABG 2 Tấn , Con Đội Cá Sấu Loại 2 Tấn, Kích Thủy Lực Dùng Để Nâng Các Vật Nặng, Kích gầm Ô Tô - Hàng Chính Hãng."
"Kích Thủy Lực, Con Đội Thủy Lực ABG (Loại 16 Tấn) Kích Dầm Dùng Để Nâng, Sửa Chữa Oto Và Các Ngành Công Nghiệp Nặng - Hàng Chính Hãng"
"Kích Chân Thủy Lực, Con Đội Chân Thủy Lực ABG (Loại 5 Tấn) Kích Chân Dầm Dùng Để Nâng, Sửa Chữa Oto, Trong Công nghiệp Và Xây Dựng - Hàng Chính Hãng"
Con đội 2 tấn INGCO HBJ202
Tời quay tay từ 600LBS tới 3000LBS - (272 - 1360kg) loại 1 cáp dài 8m -10m
Con đội THT109042
Con đội 6 tấn Total THT109062 
"Kích Thủy Lực, Con Đội Thủy Lực ABG (Loại 20 Tấn) Kích Dầm Dùng Để Nâng, Sửa Chữa Oto, Dùng Trong Các Ngành Công Nghiệp - Hàng Chính Hãng"
Tời điện treo PA1000 (500/1000kg) màu đỏ
 Ròng rọc kéo tay có móc treo an toàn 300kg
PALANG XÍCH LẮC TAY 0.75 TẤN
Ròng rọc móc treo an toàn tải trọng 500kg
"Tời Quay Tay ABG 800LBS 363Kg - Máy Tời Xoay Cầm Tay Chuyên Dùng Để Nâng Hạ Hàng Hóa , Máy Móc - Hàng Chính Hãng"
Palang Oshima 0.5T
Tời điện treo PA400 (200/400kg) màu đỏ
Máy Quấn Dây Biến Áp Nhảy Số
2 tấn Con đội cá sấu INGCO HFJ201
CÓC KẸP CÁP NGK 2 TẤN
Palang Oshima KCT 0.5T
"Kích Thủy Lực, Con Đội Thủy Lực ABG (Loại 10 Tấn) Dùng Để Nâng Gầm Oto, Sửa Chữa Oto Hoặc Nâng Vật Nặng - Hàng Chính Hãng"
Bộ 2 Ròng rọc kéo tay có móc treo an toàn 50kg
"Kích Thủy Lực, Con Đội Thủy Lực ABG (Loại 2 Tấn) - Hàng Chính Hãng"
Ròng rọc kéo tay có móc treo an toàn 30kg
"Palang Xích Lắc Tay ABG 1.5T-1.5M - Ba Lăng 1.5 Tấn, 1.5 Mét Xích Giúp Nâng Hạ Vật Nặng Trong Công Nghiệp Và Đời Sống - Hàng Chính Hãng (Giao Màu Ngẫu Nhiên)"
Palang lắc cáp 2 tấn
"Tời Quay Tay ABG 1200LBS 544Kg - Máy Tời Xoay Cầm Tay Chuyên Dùng Để Nâng Hạ Hàng Hóa , Máy Móc - Hàng Chính Hãng"
"Bộ Tời Điện PA200 (100/200kg) Kèm Rùa Điện Giúp Di Chuyển Tời Điện Dễ Dàng, Nâng Kéo Hàng Hóa Linh Hoạt - Hàng Chính Hãng (Giao Màu Ngẫu Nhiên)"
